id,saved_listing_id,airbnb_listing_id,listing_url,title,property_type,bedrooms,baths,accommodates,beds,rating,reviews,similarity_score,pool_score,effective_rank_score,tenure_runs,price_reliability_score,last_nightly_price,status,price_date,lat,lng,amenities,is_weekend,is_holiday
b4cb33eb-eec0-4050-9882-b1ca4903cca0,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1349496568832591244,https://www.airbnb.com/rooms/1349496568832591244?adults=10&check_in=2026-03-26&check_out=2026-03-29&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774503427_P36HDkxdQ8A58-_K&previous_page_section_name=1000&federated_search_id=039fee8b-8994-44fe-bcc9-5110b5207f52,"Edmonds, WA Getaway *Spectacular* Water Views!",entire_home,5.0,3.0,10.0,,5.0,,0.547,0.547,0.547,1.0,0.0,812.33,active,2026-03-31,0.0,0.0,[],0.0,0.0
beb79a3b-5fb6-4552-8a85-e445b3cd68e5,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,678144338062486734,https://www.airbnb.com/rooms/678144338062486734?adults=10&check_in=2026-03-26&check_out=2026-03-28&search_mode=regular_search&source_impression_id=p3_1774503426_P3tIGgc5zzW02t7-&previous_page_section_name=1000&federated_search_id=039fee8b-8994-44fe-bcc9-5110b5207f52,Spacious and quiet 5 bedroom home,entire_home,5.0,3.0,10.0,,4.89,,0.547,0.547,0.547,1.0,1.0,514.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
82d9da62-d8ab-49ad-9548-0d708627588c,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1029716475417900722,https://www.airbnb.com/rooms/1029716475417900722?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836151_P3v5m0cMIqz6HGij&previous_page_section_name=1000&federated_search_id=54725a29-1220-4f91-92c8-a4bedcaffa90,Sunset Hill - Ballard 5bed/3bath,entire_home,5.0,3.0,16.0,,4.67,21.0,0.686,0.686,0.686,2.0,1.0,264.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
e8fe85a5-af57-4b41-9aef-e0a5892e8a0d,bdef28dc-2134-40b8-875d-350f7c28a0fe,1111988398398782413,https://www.airbnb.com/rooms/1111988398398782413?adults=5&check_in=2026-03-26&check_out=2026-03-28&search_mode=regular_search&source_impression_id=p3_1774522515_P315IAZVe7iJCKTb&previous_page_section_name=1000&federated_search_id=0cbc1024-09c1-43bf-ba10-07234ee48dfd,Sweet Home Sleep 6/ 2 Bath/ AC+Parking +Laundry,entire_home,2.0,2.0,6.0,,4.77,144.0,0.68,0.68,0.68,2.0,1.0,239.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
efef24f6-f81c-4c93-9e8f-abbaff4fb4fe,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1382012217741695975,https://www.airbnb.com/rooms/1382012217741695975?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836151_P34vTD9MRE5H6_dn&previous_page_section_name=1000&federated_search_id=54725a29-1220-4f91-92c8-a4bedcaffa90,Sunsets Hill – Stunning Water & Mountain Views,entire_home,5.0,5.0,10.0,,4.97,32.0,0.567,0.567,0.567,2.0,1.0,571.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
14bddcba-ccb6-42c4-b72f-6c4664352547,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,25265218,https://www.airbnb.com/rooms/25265218?adults=10&check_in=2026-04-18&check_out=2026-04-20&search_mode=regular_search&source_impression_id=p3_1774836229_P3oI-Coy0mk9awAF&previous_page_section_name=1000&federated_search_id=6fa37be8-909a-4f67-aa8a-1343ae470b84,The Switch,entire_home,5.0,3.0,10.0,,4.67,,0.567,0.567,0.567,2.0,1.0,611.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
da40d3c4-3e93-439f-a8fb-cb888bcce90c,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,52268987,https://www.airbnb.com/rooms/52268987?adults=10&check_in=2026-04-10&check_out=2026-04-12&search_mode=regular_search&source_impression_id=p3_1774836194_P3KPkDE7fPkfyVxR&previous_page_section_name=1000&federated_search_id=dcd8ce68-d957-4ab5-980c-4a45de085c8f,UW -Upgraded Home with 5BR/4Ba/4Parking/EV charger,entire_home,5.0,4.0,10.0,,4.9,,0.564,0.567,0.567,2.0,1.0,425.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
5a23fb10-71cd-47da-8b5b-ada166df4309,bdef28dc-2134-40b8-875d-350f7c28a0fe,47509840,https://www.airbnb.com/rooms/47509840?adults=5&check_in=2026-03-30&check_out=2026-04-01&search_mode=regular_search&source_impression_id=p3_1774855087_P3ZQc_YbP24mKg0X&previous_page_section_name=1000&federated_search_id=8b829133-86ee-465a-8917-a1e79d6660c1,Charming 2BR Apartment near tech Giants & Stanford,entire_home,2.0,2.0,6.0,,4.95,165.0,0.98,0.98,0.98,5.0,1.0,345.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
b011b391-bce1-4764-9bf3-31322a9f75e3,bdef28dc-2134-40b8-875d-350f7c28a0fe,1573345140435814268,https://www.airbnb.com/rooms/1573345140435814268?adults=5&check_in=2026-04-03&check_out=2026-04-05&search_mode=regular_search&source_impression_id=p3_1774522169_P34Lxt6WArxA5j1H&previous_page_section_name=1000&federated_search_id=e6e56c0b-48a9-4f05-b084-44e1a629ad63,Modern Boutique Home | 2BR | 5 min to Santana Row,entire_home,2.0,,,,5.0,,0.567,0.567,0.567,1.0,1.0,274.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
cd3f9ec8-4132-4a22-8a26-185e5a517a0b,bdef28dc-2134-40b8-875d-350f7c28a0fe,583405326181995783,https://www.airbnb.com/rooms/583405326181995783?adults=5&check_in=2026-04-09&check_out=2026-04-11&search_mode=regular_search&source_impression_id=p3_1774522196_P36wUbap4Anjl1Wp&previous_page_section_name=1000&federated_search_id=3931fc2a-802b-44f8-aeaf-0cce377c9827,Bungalow in Castro Valley,entire_home,2.0,,,,4.96,,0.567,0.567,0.567,1.0,1.0,183.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
