feature,importance,weight,gain,cover,total_gain,total_cover
bedrooms,0.2550565302371979,1331.0,3.163909912109375,364.49566650390625,4211.1640625,485143.71875
location_city_Seattle,0.10336171090602875,261.0,1.282175064086914,367.1084899902344,334.647705078125,95815.3125
location_city_Exeter,0.0593518428504467,120.0,0.7362441420555115,1754.3046875,88.34929656982422,210516.5625
location_city_Three Rivers,0.05103606358170509,134.0,0.6330890655517578,1179.2838134765625,84.83393859863281,158024.03125
effective_rank_score,0.03889431059360504,77.0,0.48247379064559937,370.526123046875,37.150482177734375,28530.51171875
location_city_Selma,0.0379069559276104,85.0,0.4702259302139282,1309.056396484375,39.96920394897461,111269.796875
location_city_Tulare,0.033618781715631485,63.0,0.41703224182128906,1889.52001953125,26.27303123474121,119039.7578125
location_city_Porterville,0.031081197783350945,68.0,0.38555416464805603,1532.653076171875,26.217683792114258,104220.40625
location_city_Foster City,0.030698122456669807,55.0,0.3808022141456604,1485.3958740234375,20.944122314453125,81696.7734375
location_city_Redwood City,0.027596525847911835,154.0,0.34232771396636963,768.4000854492188,52.718467712402344,118333.609375
location_city_Menlo Park,0.02754313498735428,108.0,0.3416654169559479,1433.9615478515625,36.899864196777344,154867.84375
property_type_entire_home,0.02694009244441986,25.0,0.33418482542037964,1249.1427001953125,8.354620933532715,31228.56640625
pool_score,0.02031523361802101,561.0,0.2520051896572113,349.1003112792969,141.37490844726562,195845.28125
accommodates,0.017678873613476753,985.0,0.21930181980133057,343.65509033203125,216.01229858398438,338500.25
location_city_Town Center Mountlake Terrace,0.016324449330568314,90.0,0.20250053703784943,1561.3848876953125,18.225048065185547,140524.640625
location_city_South Lake Tahoe,0.012493343092501163,208.0,0.15497666597366333,797.2032470703125,32.235145568847656,165818.28125
location_city_Queen Anne,0.012397353537380695,66.0,0.15378594398498535,1268.8092041015625,10.149871826171875,83741.40625
similarity_score,0.011901252903044224,2597.0,0.1476319432258606,353.3507080078125,383.400146484375,917651.75
location_city_Edmonds,0.010990217328071594,146.0,0.13633078336715698,632.3526611328125,19.904294967651367,92323.4921875
location_city_San Jose,0.009001647122204304,138.0,0.1116630882024765,621.9733276367188,15.409505844116211,85832.3203125
