fold,mae,mape,r2
1,20.726770363404572,0.05191393421554165,0.9549948803096766
2,20.820084925700716,0.054851422275531546,0.9533204217550462
3,19.137745919768342,0.04862797124045806,0.9743724261763816
4,20.621507413724373,0.052404481682749735,0.9687302370468178
5,17.312549623030755,0.04628330130860436,0.9714180530794558
